comment_id,text_clean
Ugz9nD6YM8j3bIVwXbJ4AaABAg,vaaste soo close heart billion family thankyou watch song love support
Ugzp8pf4ETKxJTgFh7l4AaABAg,come day masterpiece billion finally reach billion congratulation t series love canada
UgwPnsYKaUo2yE0JSbV4AaABAg,exactly aaj mera exam tha par jisse mere aage baithna tha will toh aaya hi nahi ab bachi meri answer sheet aur ye bina cap ki pen jo kiska hai pata nahi bench ke niche pada mila tha lekin abb pen ne bhi likhna band kar diya ab kyawaah kismat
UgzD8dXm4nDQukRXNQJ4AaABAg,exactly aaj mera exam tha jisse mere age bethna tha will aya hi nhi bachi meri answer sheet aur ye bina cap ki pen jo kiska hai pata nhi bench k niche pada mila tha lekin ab iss pen ne bhi likhna band kar diya hai ab kya wahh kismat
UgxsLwJQ6gLfDkzRLoF4AaABAg,day suddenly remember masterpiece existsthis song legendary old song feeling didn t know
UgxhEaZmP6hrLTo-RL14AaABAg,hear sing live auto tune
Ugx1VnKId_Fd4o0AlXx4AaABAg,nikhil wt voice amazing bro
UgwDV4VwJUZbb6PE-bF4AaABAg,november
UgwyPWta_fc63aP-rP54AaABAg,s magic song became old
UgyPINoGtEDRZwTCyF94AaABAg,href appreciate voice
UgwibLFHBsn3Q9Wiepd4AaABAg,male voice amazing
Ugzpb-gMpVHbAVDM-JV4AaABAg,listen vaaste million view love
UgzqhFpxf6yELYZ50LB4AaABAg,single valentine s br high
UgxLQJ51AntI-UUDXpZ4AaABAg,listen english song manytime mugician amp singer
UgzCUdbHdSrEQ_hv9-F4AaABAg,today th september let s legend listen masterpiece
UgyqLd5T38J2vSRwX_14AaABAg,congrat million cross br soon t series go witness br congrat
UgwMT2751ZNc3-jgHMN4AaABAg,day ve list write lyric funny na gys miss day
UgxdgPzw4KX8AnvV2M54AaABAg,wale hai kya
UgwP2eaLt9x426rJFIl4AaABAg,min silence mobile phone throw window actually survive
Ugz1MTV3LFPZgqzK2bF4AaABAg,handsome u r siddharth gupta think hit like
UgzMVwH7GmTV4NigNDZ4AaABAg,beautiful song hidden beautiful message beautifully picturize song amp message life door close surely open thankyou universe
UgycvtqItdeNh8ee0Kd4AaABAg,href s year t believe covid friend s sing song class enjoy lot
Ugy6nBr7HvrQJEjz91B4AaABAg,wait song complete billion
Ugy18sryjKD_2QaTXih4AaABAg,m luvng siddharth gupta br eye man
UgxKgJXWyqSAlq9DhRp4AaABAg,m myanmar music good
Ugw6DDVUkMikDaZTlz54AaABAg,song get like song t series proof s popularity
UgxesOL5bMTwVmjlpnB4AaABAg,love song lot hashtag wowwwwwwwww br
UgzlEPvdzV-OCtooZO54AaABAg,vaaste rd indian song reach b million like br st nd million like br congrationlation dhvani bhanushali
UgxIAF_RR4RpwwJsFth4AaABAg,come blue watch suddenly change watch
Ugz_WRsgcPABLaFEcvh4AaABAg,s awesome br version nikhil t series
Ugz1rot2ZrhBkc5DqhZ4AaABAg,song complete billion br achievement
UgwU3BxaZXPlXKpRQfB4AaABAg,quot vaste song quot million view cross billion
UgzPliDZo-aJB5sgqah4AaABAg,year race million miss time friend like d chat time nowadays don t talk anymore
UgxL7F8NIWk2eazmoeF4AaABAg,happy m view vaaste br happy m subcriber t series
UgxMKVxVCN0UutlDdrB4AaABAg,hey br t series release nikhil s br solo song plzzz
UgztwQqEsc03CliJq414AaABAg,nice superb m fall love song plz continue love story
UgzcwUawJ6HLKuVg_MV4AaABAg,b congratulation advance b br vaaste m view br t series m subscriber
UgyER69Dkea2MegZoNB4AaABAg,guy handsome btw great song
Ugz9g8ckA6PPIWsoNmJ4AaABAg,listen song everyday wake thousand time
UgxXawSSz970vkRSXvJ4AaABAg,wish happy birthday love abhikalp meri maa parvati tumhare lia samarpit hai ye jindagi
UgxFZaEu76gBgLgeHsd4AaABAg,good song br indonesia dj br love indonesia br edit good song thank
UgzPs7H3eh4szJz1cMx4AaABAg,soooo gud song yr male voice superb like
Ugxj_eSjg-UDzRkMmNt4AaABAg,indian solo song cross b view hatss
Ugy3HaIfaQcIngQmGMV4AaABAg,pichle salo se sun ra hun esko kabhi man hi bhara es song se love song
UgwEYq2TIsOthDjpZ0F4AaABAg,nostalgia song hold unexplainable
UgzDSoyExQj7qQ9e4nV4AaABAg,nice song br nice story br nice voice br fast speed come
Ugxj9WC7QjeDn6Ag_cF4AaABAg,good br mein teri hoon comment br vaaste like
Ugz-iAd8eoliZBmawO14AaABAg,philippine
UgzBL_vm9UuZyRl7Xs94AaABAg,listen href repeat hit like br thank u sab log like karne ki liye br br u tell plz
UgzwHU9tfjl4dHxGAhd4AaABAg,day t series number
Ugx4MaMpa5mzPkBl3yJ4AaABAg,congrats dhvani billion view vaaste leja
Ugw2u5NBM8NY5dcU0qV4AaABAg,nice song like song
UgyU_RZjllHsc230fwB4AaABAg,real male version genius nikkil d sir highlight genius man
Ugxua-mY3gHRXXw7pMp4AaABAg,don t know video song remind falguni pathak video song
UgwByYnepiHKenMooyp4AaABAg,millions t series subscriber congratulation
UgyxNvP-52IwcYUnriJ4AaABAg,good old day
UgwUDYxdzc5uFShLhcN4AaABAg,want dhvani hero siddharth album
UgwZBy7Nj7tzQ5QELzx4AaABAg,march let s legend listen masterpiece popular song year s quot
Ugwsro0uwz3sp_TPwKB4AaABAg,href handsome hunk
UgzuLcxw5Hso7iyJr5h4AaABAg,nice song hear good indian song
UgyUz94UnD-Jj5z7xV94AaABAg,good song listen boy voice excellent
UgzN3Ki0bpEz1uer3xR4AaABAg,mana indonesia
UgwvnAoG_q_k2Ko5vSB4AaABAg,want record b think song life history ka good song bangladesh love
Ugyo8pMWmwQbrzwuz9J4AaABAg,single song short love story movie
UgwoQpxfiPmDCooxdI94AaABAg,love family parent like
UgyqqYqQrp_5VhV9i3d4AaABAg,dhanvi bhunashali proud br love song song
UgxmVsxAZMHSAUk5qrV4AaABAg,fvrt song br vry heart touching song
UgzdrRW5178f1H-8BOt4AaABAg,nice song love br congratulations t series m subscriber
UgytP1ZJw7cCDuWMxbZ4AaABAg,feeling siddharth look alike vatsal shet tarzan wonder car feel luv song singing home listen song
Ugz8He4plROJ0T7EGYd4AaABAg,t believe s year old remember listen moment itwa release k like m
UgyrBwvCLhajMwE-tqx4AaABAg,want male version vaaste nikhil voice original cover song
Ugz_BKL3oa2QSrbUbX54AaABAg,january
UgyAXlO0aFjn5u_eaqJ4AaABAg,good song
UgxYvKgkvXkbzNRGRvZ4AaABAg,vaaste song fantastic voice female dhvani bhanushali fantastic voice br like song plese like
UgyUAFIkxbloYmgnIhl4AaABAg,ye song mujhe annual day mein gaana hai br kiyuki br beautiful song
UgyP4Peu2RmIxLYK2ph4AaABAg,million milllion view br b br edit million view
Ugy4lMuT9qzH8ahqmcR4AaABAg,itlian friend lorenzo send video chat m listen
UgwHLo9cfDZG7118oT54AaABAg,super song love hit like hear
UgwcjT-4-YkBFOsKUeV4AaABAg,super song br boy voice amazing dhavni s voice agree hit like
UgzhGX4Ls5fDYf--iAV4AaABAg,listen song long time
UgxFTH63enM3B0BfcEt4AaABAg,href wow
UgxHwIc5V6WSilobtb14AaABAg,view b br like m br comment k
Ugyde_2sltB90tfN6Wd4AaABAg,wow amazing voice l love song u
UgwKtt9aPiWAj74vAaN4AaABAg,good song vibe
Ugz5HWIy0SzKzwCPZjV4AaABAg,t series day number
UgyRKzsP7cgTor2JlU94AaABAg,href href href amazing brilliant wow favourite song
UgzIENHqCa86vQvPfOl4AaABAg,m leave comment heart like month year remind song quot quot
UgwYc-2dUQ6E74cashR4AaABAg,cutis jodi sathi ke sath song good lageta h
UgwKyYstfEzT2BzBMVx4AaABAg,think video cross leja
UgylscHX_67B7PDM9e94AaABAg,href minute silence loudly voice mic
UgwU6CdCdizshw1OkXB4AaABAg,woh song story wow fully pack block buster
UgxhZFLK1O1MfRAlhx14AaABAg,m bangladesh love bangladesh
UgzfrdV2EhJDaIXMztd4AaABAg,vaaste beautiful song favourite song
UgylN4QdYqU0kpcCOdl4AaABAg,dhvani voice nice time
UgwouChcfiZdQQnCXV14AaABAg,hi dhwani year old daughter big fan dance song respect bless
UgwAZhOlWNVJaiKU2D94AaABAg,omg love song s ve listen m cambodai don t know song mean feel voice song s beautiful voice
Ugwf1XKxOLZ64j9j5014AaABAg,kon kon sun raha hai
UgxS2u8oHbhc9Zc-9Dt4AaABAg,take time understand song seriously s awesome
UgxfUWCcu-eyGkm_SM94AaABAg,hit like dhwani br list billionaire view video br love bangalore
UgzhRYzU_eR-EXgj9Rh4AaABAg,favourite song
Ugxp29uya-LYI02iM6p4AaABAg,phone strong nokia
UgyptMibW_4BXNpjCkN4AaABAg,href wonder phone survive
UgzPTsgYaH6QC7lrlMJ4AaABAg,href joss
UgxKkcZEruQzTlUSAG14AaABAg,feel different
UgybXxW2CrlWfzPBZBp4AaABAg,href chubby version neha kakkar
Ugw52dLE8FK4xIsZ0kl4AaABAg,s crazy people come everyday
UgwC6S4fCbXFvy8bxbt4AaABAg,heart touch m rone hi lg gye
Ugzn0ZQwmOZ5tKgfZAt4AaABAg,lakh fir b ho jayenge view itni khushi aaye haaye
UgwA1-P1NxzyJBHW33Z4AaABAg,b understand b br b enjoy b br b dance b
UgzwRbEyflWgqTLrMFt4AaABAg,lover love don t know love love forever yesterday go holiday trip family doesn t talk lastly t lift luggage come near luggage luggage take luggage love sooo relative neighbour talk closely miss
Ugw1mJnweUeQvayUGVt4AaABAg,love favourite favourite favourite song
UgxpW1XUtpZ_LOH-Qm54AaABAg,exactly watch song broken phone
UgyOMRviPGYWW91jUB94AaABAg,don t know remember camp rock watch
UgwrVzaw6yvtoUh-01t4AaABAg,href super lyric
UgwkI37-W9cZISK49lR4AaABAg,favorite love song india song touch heart tho t understand language feel song br br love philippine
UgzJBH_XpUwPS4CQeI54AaABAg,time favorite vaaste time favorite dhvani bhanushali favorite singer dhvani favorite song vaaste hit like comment
Ugxt3ojeEHxWqCqo8-B4AaABAg,hear forget favourite song
UgzqErkuOyUuqdJTxLl4AaABAg,let know notice sumbul song br
Ugzt2yGDJgzmWhZOMnV4AaABAg,na aisa koi song tha na aayegaa yaad rakhna good song
UgyO0ww0qTA7E8nav4l4AaABAg,song favourite song z
Ugw_O-d6i_LpPMfIt154AaABAg,href cullen prettiest edward cullen
UgxnswQQXl_Ob7eM6oB4AaABAg,r suppose shout inside library
UgyRunjpTW-tB728gXx4AaABAg,oktober baru lihat dan denger ini kudet gua nih br ada yang baru denger juga kah
UgxHJSTRxSr917xeAYN4AaABAg,think month song cover total india population view
UgxUQcDJtYuY7QP-gn54AaABAg,omg b august
Ugw53oX3YZw8uo5Digh4AaABAg,billion view br favorite song
Ugw2w9L5ZUN8xE3p9yF4AaABAg,add like watch quarantine time
UgwhLOgzG_UckLhyIiJ4AaABAg,want movie base song s story
UgzWXpmqXM4wqBUpv454AaABAg,play morning
UgzHdBNN4zsrfXg6hCV4AaABAg,kon kon dekh raha hai
Ugx8HF5U3PcSpzMjKaR4AaABAg,listen september
Ugw1pnVhd5cFYPU-li54AaABAg,song well br vaaste like br leja le comment
Ugw8ussNTx-1xykzZOF4AaABAg,favourite song stay nice
UgwcOCXeMZbgB3vHzNp4AaABAg,bhai mast song hai
UgwBZAO8y9ABc5u8TN14AaABAg,t series million suscriber thank dhvani br br br dhvani yes win diamond button
UgzOZm1bdgYbAo-dKZJ4AaABAg,million view like thing perfectly balanced
